pair,type,burden
1047-24271-180B-32--1047-24964N-180B-GST,del,2
1047-24274-180B-28--1047-24964N-180B-GST,del,6
1047-24277-101D-30--1047-24964N-180B-GST,del,3
1047-24280-101D-28--1047-24964N-180B-GST,del,3
1063,del,4
1076,del,5
1078,del,1
1082,del,19
1083,del,27
1086,del,0
1103,del,28
1110,del,83
1118,del,27
1124,del,44
11524e868cfd06698eab18840572b21e31ccc772b0a6d8695b31b16d44f17de9,del,5
126-24343-135F-31--126-25058N-31X-BLD,del,5
126-24346-287R-31--126-25058N-31X-BLD,del,6
126-24349-287R-33--126-25058N-31X-BLD,del,3
126-24352-37Z-30--126-25058N-31X-BLD,del,5
126-24355-37Z-32--126-25058N-31X-BLD,del,4
126-24631-135F-31--126-25058N-31X-BLD,del,2
130-24295-71S-34--130-24993N-290R-BLD,del,4
130-24298-71S-36--130-24993N-290R-BLD,del,3
130-24301-85U-34--130-24993N-290R-BLD,del,4
130-24304-85U-33--130-24993N-290R-BLD,del,3
1319,del,4
1331,del,44
1347,del,77
1349,del,6
1367,del,75
1371,del,11
1389,del,11
1395dc4ab7c754e0a84c8daa3996f16e5caf11169f8a9be6c800f6da00474321,del,15
1401,del,0
1402,del,3
1411,del,14
1419,del,12
141c4e0d1424a013faa785ef2fb5fc1bd47e434f8fc7193b4ae34bb3432a35ed,del,96
1438,del,1
1454,del,3
1459,del,2
1460,del,1
1466,del,4
1477,del,1
1487,del,36
1491,del,17
1514,del,20
1527bc8b5a2bf76464676730388a7c05f30a7290fe2210e562cf5e0c7cac3345,del,3
1542,del,66
1544,del,20
1548,del,20
1552,del,5
1557,del,41
1558,del,20
1562,del,4
1570,del,36
1571,del,11
1574,del,24
158cfbabcfd84336aa6020a4d6ada78d4cc56ae83802bc9e556d5d8db44af5a0,del,38
1594,del,4
1596,del,4
160-23716-53M-37--160-24958N-132N-GST,del,8
160-23719-53M-36--160-24958N-132N-GST,del,1
160-23722-132N-36--160-24958N-132N-GST,del,4
160-23725-132N-35--160-24958N-132N-GST,del,6
1614,del,25
1622,del,12
163-23740-14O-37--163-25059N-78R-BLD,del,20
163-23743-14O-35--163-25059N-78R-BLD,del,18
163-23749-256R-35--163-25059N-78R-BLD,del,16
163-24735-256R-37--163-25059N-78R-BLD,del,23
1632,del,27
1634,del,42
1653fc3624abafefb2732db164b723d47ea80920a4c2252398fe6ddd300ea997,del,23
1666,del,19
1678,del,12
169-23764-9T-31--169-25060N-253T-BLD,del,9
169-23767-9T-29--169-25060N-253T-BLD,del,8
169-23770-232V-33--169-25060N-253T-BLD,del,0
169-23773-232V-31--169-25060N-253T-BLD,del,7
16ecc4c79c9ca8e731e9b0f2c6084c63a222890ad8d448c3658736dbc6eff424,del,34
17-23561-12V-35--17-24987N-105W-BLD,del,3
17-23564-12V-31--17-24987N-105W-BLD,del,7
17-23567-37D-37--17-24987N-105W-BLD,del,3
17-24933-37D-40--17-24987N-105W-BLD,del,4
170-23788-73T-33--170-25061N-3B-BLD,del,0
170-23791-73T-31--170-25061N-3B-BLD,del,4
170-23794-3B-33--170-25061N-3B-BLD,del,4
170-23797-3B-35--170-25061N-3B-BLD,del,2
1791449d2f01848f0d916bf0fe0ea5bbd445cac09cb4cfbb612f884153fc0297,del,16
1831,del,2
184-24325-148K-31--184-24997N-267S-BLD,del,6
184-24328-148K-35--184-24997N-267S-BLD,del,6
184-24331-16R-29--184-24997N-267S-BLD,del,6
184-24334-16R-33--184-24997N-267S-BLD,del,7
184-24337-67C-31--184-24997N-267S-BLD,del,6
184-24340-67C-35--184-24997N-267S-BLD,del,4
18ca78d4585c3495bfe0961dc1c51ad36aea437da2e01f57756ced0514056b73,del,9
1970,del,1
1a7f4e2b2564e194582ecffac318dfbe9d86f05a14aac53a5f2e2cd58840ee08,del,10
1aa5c1b7dc0951139f6eee1476ac8edcba8ddee881eeec50897c81d13d42a4f6,del,22
1abf4349b13234e9b9fe664e01960425da9b129ab4b0672a69a7103ff2bbf1b3,del,31
1b2666062ba4458789d5500896b198fc548feea869a79eabd35e141fdab59c09,del,180
1eb70f19ab2ed90ef04ee3f82ce470bae65c3538ea3722c564674916e7c99512,del,20
2000,del,6
2024,del,86
2045,del,21
2050,del,110
206327a320b967baf95361f43e814ab0e7403364077c84c04722fbe9ec7d59d5,del,12
2089c7c80de49c60c49a01deba8c80587307319d94d23b8464cbe53d2f1d4947,del,0
21c3e02f465c21c25f5d7f686b2a5c008b23a2fe5469d444ebac07f80a1ab962,del,13
222-24370-179T-30--222-25062N-179T-BLD,del,3
222-24373-179T-34--222-25062N-179T-BLD,del,3
222-24376-88N-30--222-25062N-179T-BLD,del,4
222-24379-88N-34--222-25062N-179T-BLD,del,1
2290,del,63
2368c29b6b700ca640ec887666c149533231d23ea32718f6f83469b5b7ad7aa4,del,68
2391,del,75
23b4e52e36a71bfaec31dc2edd3dd8e6e470acab656279f96446223d654bcc2c,del,7
2400,del,18
2485,del,0
250e75e0ccb2d6cc7b159cc37fab47a4b056ed820a46b82b00bf46b8e7c61c36,del,28
251e8f9e35d4eba93dcd32dea1f713609f4cf97b8e537637921a670c52dc9861,del,14
2523,del,6
2528,del,2
2554,del,4
2567f5779f07b4c5c7eb5ef5590da72b4352f0e6353150b2f090c354721bebac,del,8
2567f5779f07b4c5c7eb5ef5590da72b4352f0e6353150b2f090c354721bebac.2,del,9
2570,del,2
2596,del,9
25e28ea260c8efc00de88a0e7da3faaea440f68bd539d0fd84e7ae65e33969e9,del,26
2600,del,8
2613d0db5e6407392aa2691ce6db2a4cd350b8258a38f9f6b83844d3b8272685,del,6
2624,del,1
2629,del,6
2638c364b22eb5c857d7ef4e6722b23232b2690383c5f34836cb2e9055e2a2fb,del,85
2656,del,6
2659,del,0
266-24139-216R-35--266-25063N-67T-BLD,del,6
266-24145-67T-34--266-25063N-67T-BLD,del,20
266-24148-67T-33--266-25063N-67T-BLD,del,5
266-24900-216R-33--266-25063N-67T-BLD,del,3
2665,del,0
2666,del,3
2668,del,0
2677,del,5
2680,del,3
2681,del,30
2683,del,24
2684,del,1
2689,del,7
2691,del,0
2695,del,9
2698,del,38
